Project_ID,Display Width (Feet),Display Height (Feet),Total Area Sq Ft,Pixel Pitch,Cabinet Width (mm),Cabinet Height (mm),Module Width (mm),Module Height (mm),Aspect Ratio,Installation Type,Brightness (nits),Refresh Rate (Hz),Display Width (mm),Display Height (mm),Horizontal Pixels,Vertical Pixels,Total Pixels,Total Megapixels,Cabinets Horizontal,Cabinets Vertical,Total Cabinets,Modules per Cabinet,Total Modules,Estimated Data Rate (Gbps),Required Sending Cards,Required Receiving Cards,Redundancy Required,Control Mode,Controller Type,Controller Brand,Controller Model,Controller Series,Maximum Load Pixels,Maximum Width Pixels,Maximum Height Pixels,Maximum Ethernet Ports,Maximum Fiber Ports,Controller Units Required,Controller Load %,Recommended Usage,Reason for Selection,Selection Confidence %,Approx Controller Price (USD),Approx Controller Price (INR),Official Product URL,Official Datasheet URL,Manufacturer,Country,Availability,AI Explanation
PRJ-00001,146.98,3.15,462.99,P8,1280,960,320,160,46.67:1,Outdoor,5600,1920,44800,960,5600,120,672000,0.672,35,1,35,24,840,1.113,1,35,Yes,Asynchronous (PC-free),Async Media Player/Card,Colorlight,A500,A Series,5200000,8192,4096,8,0,1,12.9,Large DOOH billboards,Smallest economical controller with >=10% headroom: 0.67MP load vs 5.20MP capacity (12.9% utilization); width 5600px <= 8192px and height 120px <= 4096px limits satisfied.,96,980,82320,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 5600 x 120 which equals 0.67 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-D35 (650,000 px) but fits within the Colorlight A500 capacity of 5,200,000 px with a 10% safety margin (load 12.9%), the AI recommends Colorlight A500 (8x 1G Ethernet, 0x fiber). 2 Ethernet port(s) and 35 receiving card(s) are required for the 35-cabinet outdoor P8 display."
PRJ-00002,31.5,16.8,529.2,P4,640,640,320,160,15:8,Outdoor,3300,3840,9600,5120,2400,1280,3072000,3.072,15,8,120,8,960,5.087,1,120,Yes,Synchronous,Sync Sender/Processor,NovaStar,VX600,VX Series,3900000,10240,8192,6,0,1,78.8,"Conference rooms, control rooms, rental",Smallest economical controller with >=10% headroom: 3.07MP load vs 3.90MP capacity (78.8% utilization); width 2400px <= 10240px and height 1280px <= 8192px limits satisfied.,88,1350,113400,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 2400 x 1280 which equals 3.07 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-T902B (2,600,000 px) but fits within the NovaStar VX600 capacity of 3,900,000 px with a 10% safety margin (load 78.8%), the AI recommends NovaStar VX600 (6x 1G Ethernet, 0x fiber). 5 Ethernet port(s) and 120 receiving card(s) are required for the 120-cabinet outdoor P4 display."
PRJ-00003,11.81,8.86,104.64,P0.9,600,675,300,168.75,4:3,Indoor,900,3840,3600,2700,4000,3000,12000000,12.0,6,4,24,8.0,192.0,19.872,1,24,Yes,Synchronous,Fiber Distribution System,NovaStar,MX2000 Pro,MX Series,26000000,16384,16384,0,8,1,46.2,"Giant outdoor facades, 8K studios",Smallest economical controller with >=10% headroom: 12.00MP load vs 26.00MP capacity (46.2% utilization); width 4000px <= 16384px and height 3000px <= 16384px limits satisfied.,97,14500,1218000,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 4000 x 3000 which equals 12.00 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight X20 (13,000,000 px) but fits within the NovaStar MX2000 Pro capacity of 26,000,000 px with a 10% safety margin (load 46.2%), the AI recommends NovaStar MX2000 Pro (0x 1G Ethernet, 8x fiber). 19 Ethernet port(s) and 24 receiving card(s) are required for the 24-cabinet indoor P0.9 display."
PRJ-00004,14.76,9.84,145.24,P2.5,500,500,250,250,3:2,Indoor,1100,1920,4500,3000,1800,1200,2160000,2.16,9,6,54,4,216,3.577,1,54,No,Synchronous,Sync Sender/Processor,Huidu,HD-VP620,HD-VP Series,3900000,8192,4096,6,0,1,55.4,Mid-size budget projects,Smallest economical controller with >=10% headroom: 2.16MP load vs 3.90MP capacity (55.4% utilization); width 1800px <= 8192px and height 1200px <= 4096px limits satisfied.,95,640,53760,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 1800 x 1200 which equals 2.16 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-A30+ (2,300,000 px) but fits within the Huidu HD-VP620 capacity of 3,900,000 px with a 10% safety margin (load 55.4%), the AI recommends Huidu HD-VP620 (6x 1G Ethernet, 0x fiber). 4 Ethernet port(s) and 54 receiving card(s) are required for the 54-cabinet indoor P2.5 display."
PRJ-00005,8.4,9.45,79.38,P1.53,640,480,320,160,8:9,Indoor,1000,3840,2560,2880,1673,1882,3148586,3.149,4,6,24,6,144,5.214,1,24,No,Synchronous,Sync Sender/Processor,NovaStar,MCTRL R5,MCTRL Series,3900000,8192,4096,6,2,1,80.7,Rental & staging with creative rotations,Smallest economical controller with >=10% headroom: 3.15MP load vs 3.90MP capacity (80.7% utilization); width 1673px <= 8192px and height 1882px <= 4096px limits satisfied.,92,1450,121800,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 1673 x 1882 which equals 3.15 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-T902B (2,600,000 px) but fits within the NovaStar MCTRL R5 capacity of 3,900,000 px with a 10% safety margin (load 80.7%), the AI recommends NovaStar MCTRL R5 (6x 1G Ethernet, 2x fiber). 5 Ethernet port(s) and 24 receiving card(s) are required for the 24-cabinet indoor P1.53 display."
PRJ-00006,1.64,1.64,2.69,P2,500,500,250,250,1:1,Indoor,900,1920,500,500,250,250,62500,0.062,1,1,1,4,4,0.103,1,1,Yes,Synchronous,Sync Sender/Processor,Colorlight,X1,X Series,650000,4096,1080,1,0,1,9.6,"Door headers, small signage, tickers",Smallest economical controller with >=10% headroom: 0.06MP load vs 0.65MP capacity (9.6% utilization); width 250px <= 4096px and height 250px <= 1080px limits satisfied.,97,180,15120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 250 x 250 which equals 0.06 million pixels. Since the total pixel count fits within the Colorlight X1 capacity of 650,000 px with a 10% safety margin (load 9.6%), the AI recommends Colorlight X1 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 1 receiving card(s) are required for the 1-cabinet indoor P2 display."
PRJ-00007,13.44,5.04,67.74,P8,1024,768,256,128,8:3,Outdoor,7000,3840,4096,1536,512,192,98304,0.098,4,2,8,24,192,0.163,1,8,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-D15,D Series,300000,4096,512,1,0,1,32.8,"LED posters, shelf strips",Smallest economical controller with >=10% headroom: 0.10MP load vs 0.30MP capacity (32.8% utilization); width 512px <= 4096px and height 192px <= 512px limits satisfied.,95,45,3780,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 512 x 192 which equals 0.10 million pixels. Since the total pixel count fits within the Huidu HD-D15 capacity of 300,000 px with a 10% safety margin (load 32.8%), the AI recommends Huidu HD-D15 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 8 receiving card(s) are required for the 8-cabinet outdoor P8 display."
PRJ-00008,2.1,1.57,3.3,P1.86,640,480,320,160,4:3,Indoor,1200,1920,640,480,344,258,88752,0.089,1,1,1,6,6,0.147,1,1,No,Synchronous,Sync Sender/Processor,NovaStar,VX1,VX Series,1300000,4096,2048,2,0,1,6.8,"Retail, meeting rooms, small stages",Smallest economical controller with >=10% headroom: 0.09MP load vs 1.30MP capacity (6.8% utilization); width 344px <= 4096px and height 258px <= 2048px limits satisfied.,97,520,43680,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 344 x 258 which equals 0.09 million pixels. Since the total pixel count fits within the NovaStar VX1 capacity of 1,300,000 px with a 10% safety margin (load 6.8%), the AI recommends NovaStar VX1 (2x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 1 receiving card(s) are required for the 1-cabinet indoor P1.86 display."
PRJ-00009,4.2,6.3,26.46,P3,640,480,320,160,2:3,Outdoor,1700,1920,1280,1920,427,640,273280,0.273,2,4,8,6,48,0.453,1,8,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-A601,A Series,500000,2048,1024,1,0,1,54.7,"Wedding halls, small event screens",Smallest economical controller with >=10% headroom: 0.27MP load vs 0.50MP capacity (54.7% utilization); width 427px <= 2048px and height 640px <= 1024px limits satisfied.,93,150,12600,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 427 x 640 which equals 0.27 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-D15 (300,000 px) but fits within the Huidu HD-A601 capacity of 500,000 px with a 10% safety margin (load 54.7%), the AI recommends Huidu HD-A601 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 8 receiving card(s) are required for the 8-cabinet outdoor P3 display."
PRJ-00010,92.52,4.43,409.86,P1.25,600,675,150,168.75,20.89:1,Indoor,600,1920,28200,1350,22560,1080,24364800,24.365,47,2,94,16.0,1504.0,40.348,1,94,Yes,Synchronous,Fiber Distribution System,NovaStar,MX6000 Pro,MX Series,141000000,65536,65536,0,32,1,17.3,"Stadiums, landmark media facades",Smallest economical controller with >=10% headroom: 24.36MP load vs 141.00MP capacity (17.3% utilization); width 22560px <= 65536px and height 1080px <= 65536px limits satisfied.,95,48000,4032000,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 22560 x 1080 which equals 24.36 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-VP8000 (26,000,000 px) but fits within the NovaStar MX6000 Pro capacity of 141,000,000 px with a 10% safety margin (load 17.3%), the AI recommends NovaStar MX6000 Pro (0x 1G Ethernet, 32x fiber). 38 Ethernet port(s) and 94 receiving card(s) are required for the 94-cabinet indoor P1.25 display."
