Brand,Model,Series,Type,Max Pixels,Max Width,Max Height,Ethernet Ports,Fiber Ports,Input Interfaces,Output Interfaces,Scaling,HDR,Genlock,Supported Refresh Rate,Supported Color Depth,Recommended Display Size,Power Consumption (W),Datasheet URL,Product URL,MSRP (USD),Indian Price (INR approx),Country,Notes
NovaStar,VX1,VX Series,Sync Sender/Processor,1300000,4096,2048,2,0,"HDMI 1.3, DVI",2x 1G Ethernet,Yes,No,No,Up to 60Hz,8bit,Small walls up to ~1.3MP,25,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,520,43680,China,Compact entry all-in-one | Prices indicative; verify with authorized distributor.
NovaStar,VX400,VX Series,Sync Sender/Processor,2600000,10240,8192,4,0,"HDMI 1.4, DVI, 3G-SDI","4x 1G Ethernet, HDMI loop",Yes,No,No,Up to 60Hz,8/10bit,Small indoor walls up to ~2.6MP,35,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,950,79800,China,Entry all-in-one controller | Prices indicative; verify with authorized distributor.
NovaStar,VX600,VX Series,Sync Sender/Processor,3900000,10240,8192,6,0,"HDMI 1.4, DVI, 3G-SDI, USB","6x 1G Ethernet, HDMI loop",Yes,No,No,Up to 60Hz,8/10bit,Indoor walls up to ~3.9MP,40,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,1350,113400,China,Popular mid-size all-in-one | Prices indicative; verify with authorized distributor.
NovaStar,VX600 Pro,VX Series,Sync Sender/Processor,3900000,10240,8192,6,2,"HDMI 2.0, DVI, 12G-SDI, USB","6x 1G Ethernet, 2x 10G optical",Yes,Yes (HDR10),Yes,Up to 120Hz,8/10/12bit,Premium walls up to ~3.9MP,55,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,2100,176400,China,Upgraded VX600 with HDR/fiber | Prices indicative; verify with authorized distributor.
NovaStar,VX1000,VX Series,Sync Sender/Processor,6500000,10240,8192,10,2,"HDMI 1.4, DVI, 3G-SDI, USB","10x 1G Ethernet, 2x 10G optical",Yes,No,No,Up to 60Hz,8/10bit,Large indoor / medium outdoor up to ~6.5MP,60,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,2450,205800,China,"10 ports + fiber, rental workhorse | Prices indicative; verify with authorized distributor."
NovaStar,VX1000 Pro,VX Series,Sync Sender/Processor,6500000,10240,8192,10,2,"HDMI 2.0, DVI, 12G-SDI","10x 1G Ethernet, 2x 10G optical",Yes,Yes (HDR10),Yes,Up to 120Hz,8/10/12bit,Premium large walls up to ~6.5MP,75,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,3300,277200,China,Upgraded VX1000 with HDR/genlock | Prices indicative; verify with authorized distributor.
NovaStar,VX2000 Pro,VX Series,Sync Sender/Processor,13000000,16384,8192,20,4,"HDMI 2.0, DP1.2, 12G-SDI","20x 1G Ethernet, 4x 10G optical",Yes,Yes (HDR10),Yes,Up to 120Hz,8/10/12bit,Above-4K walls up to ~13MP,110,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,5900,495600,China,Flagship VX all-in-one | Prices indicative; verify with authorized distributor.
NovaStar,VX16s,VX Series,Sync Sender/Processor,10400000,16384,8192,16,4,"HDMI 2.0, DP1.2, DVI, 12G-SDI","16x 1G Ethernet, 4x 10G optical",Yes,Yes (HDR10),Yes,Up to 120Hz,8/10/12bit,4K-class walls up to ~10.4MP,90,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,4800,403200,China,"4K input, HDR, 16 ports | Prices indicative; verify with authorized distributor."
NovaStar,MCTRL300,MCTRL Series,Sync Sender/Processor,1310000,3840,1920,2,0,DVI,2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Small displays up to ~1.3MP,15,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,380,31920,China,"Budget pure sending box, DVI only | Prices indicative; verify with authorized distributor."
NovaStar,MCTRL600,MCTRL Series,Sync Sender/Processor,2300000,4096,2048,4,0,"DVI, HDMI 1.3",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Displays up to ~2.3MP,18,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,520,43680,China,Classic 4-port sender | Prices indicative; verify with authorized distributor.
NovaStar,MCTRL660,MCTRL Series,Sync Sender/Processor,1920000,3840,1920,4,0,"DVI, HDMI 1.3",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Displays up to ~1.9MP,18,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,560,47040,China,Workhorse sending box | Prices indicative; verify with authorized distributor.
NovaStar,MCTRL660 Pro,MCTRL Series,Sync Sender/Processor,2300000,4096,4096,6,2,"DVI, HDMI 1.4","6x 1G Ethernet, 2x optical",No,No,No,Up to 60Hz,8/10bit,Displays up to ~2.3MP,22,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,780,65520,China,10bit capable sender with fiber | Prices indicative; verify with authorized distributor.
NovaStar,MCTRL R5,MCTRL Series,Sync Sender/Processor,3900000,8192,4096,6,2,"DVI, HDMI 1.4, SDI (opt)","6x 1G Ethernet, 2x optical",No,No,Yes,Up to 60Hz,8/10bit,Rental panels up to ~3.9MP,30,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,1450,121800,China,"Rental oriented, rotation support | Prices indicative; verify with authorized distributor."
NovaStar,MCTRL4K,MCTRL Series,Sync Sender/Processor,8850000,7680,3840,16,4,"HDMI 2.0, DP1.2, Dual DVI","16x 1G Ethernet, 4x 10G optical",No,Yes (HDR10/HLG),No,Up to 60Hz @4K,8/10/12bit,True 4K walls (4096x2160),55,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,3200,268800,China,"Classic 4K sending box, HDR | Prices indicative; verify with authorized distributor."
NovaStar,MX30,MX Series,Sync Sender/Processor,6500000,16384,16384,10,2,"HDMI 2.0, DP1.2, 12G-SDI","10x 1G Ethernet, 2x 10G optical",No (pixel-to-pixel),Yes (HDR10/HLG),Yes,Up to 144Hz,Up to 12bit,Premium walls up to ~6.5MP,70,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,3900,327600,China,COEX platform compact unit | Prices indicative; verify with authorized distributor.
NovaStar,MX40 Pro,MX Series,Sync Sender/Processor,9200000,16384,16384,20,4,"HDMI 2.0, DP1.2, 12G-SDI","20x 1G Ethernet, 4x 10G optical",No (pixel-to-pixel),Yes (HDR10/HLG),Yes,Up to 240Hz,Up to 12bit,Premium 4K walls / XR stages up to ~9.2MP,100,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,6500,546000,China,"COEX flagship 1U, high frame rate | Prices indicative; verify with authorized distributor."
NovaStar,CX40 Pro,MX Series,Fiber Distribution System,9200000,16384,16384,20,4,10G optical (from MX2000/MX6000 Pro),"20x 1G Ethernet, 4x 10G optical loop",No,Yes,Yes,Up to 240Hz,Up to 12bit,Fiber-to-copper node for COEX systems,80,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,3800,319200,China,COEX fiber node; deploy near the wall | Prices indicative; verify with authorized distributor.
NovaStar,MX2000 Pro,MX Series,Fiber Distribution System,26000000,16384,16384,0,8,"HDMI 2.0, DP1.4, 12G-SDI, ST 2110 (opt)",8x 10G optical (to CX40 Pro nodes),No (pixel-to-pixel),Yes (HDR10/HLG),Yes,Up to 240Hz,Up to 12bit,8K-class and giant walls up to ~26MP,180,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,14500,1218000,China,Fiber master; pairs with CX40 Pro | Prices indicative; verify with authorized distributor.
